Index,leftWheelCount,rightWheelCount,ax,ay,az,gx,gy,gz
1,310,598,-0.04,0.04,1.09,-0.01,-0.22,-0.19
2,310,598,-0.03,0.04,1.08,-0.11,0.13,0.1
3,310,598,-0.03,0.05,1.09,-0.09,0.01,0.08
4,310,598,-0.03,0.03,1.08,0.06,0.05,-0.04
5,310,598,-0.03,0.04,1.08,-0.02,0.03,-0.16
6,310,598,-0.03,0.03,1.09,-0.14,0.16,0.01
7,310,598,-0.02,0.04,1.09,0.05,-0.11,0.07
8,310,598,-0.02,0.04,1.1,-0.04,0.05,-0.35
9,310,598,-0.03,0.03,1.09,0.13,-0.24,-0.16
10,310,598,-0.03,0.04,1.1,-0.05,-0.1,-0.62
11,310,598,-0.03,0.04,1.1,-0.08,0.09,-0.01
12,310,598,-0.03,0.04,1.09,0.18,-0.06,0.27
13,310,598,-0.02,0.04,1.09,-0.1,0.16,0.52
14,310,598,-0.02,0.04,1.09,-0.23,0.03,1.46
15,310,598,-0.03,0.03,1.08,-0.26,0.17,1.02
16,310,598,-0.02,0.02,1.09,-0.2,0.15,1.5
17,310,598,-0.02,0.03,1.09,-0.55,0,2.95
18,310,598,-0.02,0.01,1.11,2.03,4.13,1.96
19,310,598,0,0.07,1.21,6.57,15.27,-4.68
20,310,598,-0.06,0.08,1.18,-9.42,11.72,-0.68
21,310,598,-0.12,0.07,1.18,-22.46,2.1,-1.29
22,310,598,-0.16,-0.02,1.1,-8.27,-1.76,-0.56
23,310,598,-0.17,-0.02,1.07,13.6,2.7,-1.49
24,310,598,-0.2,0.05,1.06,14.02,6.62,3.26
25,310,598,-0.23,0.08,1.02,-0.11,5.11,-1.72
26,310,598,-0.22,0.05,1,-4.15,-0.45,-15.72
27,310,598,-0.15,0.04,1.03,-15.37,-11.75,2.34
28,310,598,-0.1,-0.01,1.01,-25.42,-5.42,-8.11
29,310,598,-0.05,-0.08,1.02,-3.42,-4.21,-4.01
30,310,598,0.02,-0.04,1.03,1.76,3.42,3.73
31,310,598,0.01,-0.03,1.08,8.38,1.61,-15.08
32,310,598,0.08,0.02,1.13,4.07,-5.92,-7.59
33,310,598,0.12,-0.01,1.13,-5.65,2.4,-7.01
34,310,598,0.08,-0.04,1.07,-1.27,1.35,-0.19
35,310,598,0.05,-0.02,1.05,8.03,-2.46,-1.28
36,310,598,0.05,0.01,1.07,6.29,-3.43,-0.82
37,310,598,0.07,-0.01,1.11,8.39,-5.07,7.18
38,310,598,0.08,0.06,1.13,5.98,1.6,8.38
39,310,598,0.03,0.07,1.13,-0.34,0.96,-0.63
40,310,598,0.05,0.03,1.13,1.07,-2.69,-2.43
41,310,598,0.09,0.06,1.15,-4.59,-2.73,-5.79
42,310,598,0.15,0.01,1.15,-7.55,1.43,-4.84
43,310,598,0.15,-0.04,1.15,-6.88,2.86,2.94
44,310,598,0.17,-0.02,1.08,-11.68,7.25,11.38
45,310,598,0.06,-0.04,1.03,-1.65,0.21,27.43
46,310,598,-0.08,0.03,0.97,-3.72,-3.26,16.44
47,310,598,-0.15,0,0.99,0.07,-10.61,3.58
48,310,598,-0.21,-0.01,1.02,6.33,-15.74,3.08
49,310,598,-0.23,0.05,1.08,-5.97,-9.09,-5.14
50,310,598,-0.25,-0.06,1.04,-0.36,-14.16,-2.93
51,310,598,-0.18,-0.02,1.11,5.86,-4.09,-0.63
52,310,598,-0.16,0.02,1.08,1.44,1.86,-5.72
53,310,598,-0.13,-0.02,1.12,9.83,-4.52,-13.39
