Time/Unit,Left Delta,Right Delta
1,1,1
2,149,5
3,162,112
4,156,188
5,161,170
6,161,159
7,162,161
8,162,162
9,160,161
10,162,161
11,162,162
12,160,161
13,162,161
14,131,161
15,95,130
16,96,97
17,107,91
18,98,103
19,84,102
20,82,82
21,83,80
22,106,82
23,88,102
24,81,100
25,81,83
26,81,80
27,81,81
28,96,80
29,87,85
30,80,95
31,81,85
32,82,80
33,96,81
34,86,90
35,80,88
36,80,79
37,82,81
38,84,80
39,96,81
40,83,97
41,81,87
42,82,80
43,83,81
44,94,81
45,110,95
46,165,115
47,160,155
48,162,164
49,161,163
50,161,160
51,162,161
52,161,162
53,161,162
54,162,160
55,161,162
56,161,162
57,162,160
58,161,162
59,161,162
60,162,160
61,161,162
62,161,162
63,162,160
64,161,162
65,161,161
66,162,161
67,161,163
68,161,160
69,162,161
70,161,162
71,161,162
72,162,160
73,161,162
74,161,162
75,162,160
76,161,162
77,161,162
78,162,160
79,161,163
80,161,161
81,161,160
82,162,160
83,161,163
84,162,161
85,161,163
86,161,160
87,161,161
88,162,162
89,161,161
90,162,161
91,161,163
92,161,160
93,161,161
94,162,162
95,161,162
96,161,160
97,162,162
98,161,162
99,162,160
100,161,162
101,161,162
102,133,158
103,115,141
104,96,114
105,85,99
106,82,86
107,91,80
108,98,82
109,78,97
110,66,86
111,64,74
112,64,63
113,46,61
114,44,52
115,70,46
116,80,62
117,68,75
118,55,76
119,57,58
120,55,54
121,56,54
122,61,54
123,82,64
124,80,79
125,75,81
126,62,79
127,57,62
128,61,55
129,83,60
130,80,81
131,79,81
132,57,80
133,50,60
134,49,50
135,49,48
136,60,50
137,82,55
138,80,83
139,90,80
140,158,82
141,159,144
142,156,170
143,161,168
144,162,160
145,160,161
146,162,161
147,162,162
148,160,161
149,162,161
150,162,162
151,160,161
152,162,161
153,161,162
154,161,161
155,162,161
156,162,162
157,160,161
158,162,161
159,162,162
160,160,161
161,162,161
162,162,162
163,160,161
164,162,161
165,161,161
166,161,162
167,162,160
168,162,162
169,160,162
170,162,161
171,162,162
172,161,161
173,161,162
174,162,161
175,160,161
176,162,161
177,159,160
178,150,160
179,123,158
180,111,124
181,120,107
182,119,114
183,109,121
184,111,113
185,122,110
