time,xe_p(1),xe_p(2),xe_p(3),xe_theta,"q(1,1)","q(2,1)","q(3,1)","q(4,1)","q?(1,1)","q?(2,1)","q?(3,1)","q?(4,1)",From Workspace1:1(1),From Workspace1:1(2),From Workspace1:1(3),From Workspace2:1,From Workspace4:1(1),From Workspace4:1(2),From Workspace4:1(3),theta_dot,pd(1),pd(2),pd(3),theta,"?e(1,1)","?e(2,1)","?e(3,1)","?e(4,1)","q_dot_dot(1,1)","q_dot_dot(2,1)","q_dot_dot(3,1)","q_dot_dot(4,1)",?d(1),?d(2),?d(3),?d(4),?(1),?(2),?(3),?(4),"Reshape(1,1)","Reshape(2,1)","Reshape(3,1)","Reshape(4,1)",xe_p(1),xe_p(2),xe_p(3),xe_theta
0,5.55112E-17,-0.799998928,0.3,0,-0.927293432,-1.28700579,0.7,2.214299222,0,0,0,0,0,0,6.944444444,0,0,0,0,0,0,-0.8,0,0,0,0,0,0,-0.000385866,0.000771731,0,-21.85555556,0,0,0,0,0,0,6.944444444,0,-0.927293432,-1.28700579,0.7,2.214299222,5.55112E-17,-0.799998928,0.3,0
0.001,5.55112E-17,-0.799998928,0.3,0,-0.927293432,-1.28700579,0.7,2.214299222,-3.85866E-07,7.71731E-07,0,-0.021855556,0,0,6.944444444,0,0,0,0.006944444,0,0,-0.8,3.47222E-06,0,-6.66128E-18,-2.3152E-07,0,-0.021855556,-0.000154346,0.000309078,0,-21.77188889,0,0,0.006944444,0,0,0,6.944444444,0,-0.927293432,-1.28700579,0.7,2.214299222,5.55112E-17,-0.799998928,0.3,0
0.002,5.55112E-17,-0.799998928,0.3,-2.18552E-05,-0.927293432,-1.28700579,0.7,2.214277366,-5.40212E-07,1.08081E-06,0,-0.043627444,0,0,6.944444444,0,0,0,0.013888889,0,0,-0.8,1.38889E-05,0,1.54346E-10,-3.24244E-07,0,-0.043627444,-6.16552E-05,0.000123619,0,-21.68755556,0,0,0.013888889,0,0,0,6.944444444,0,-0.927293432,-1.28700579,0.7,2.214277366,5.55112E-17,-0.799998928,0.3,-2.18552E-05
0.003,1.54377E-13,-0.799998929,0.3,-6.54821E-05,-0.927293433,-1.287005789,0.7,2.214233739,-6.01867E-07,1.20443E-06,0,-0.065315,0,0,6.944444444,0,0,0,0.020833333,0,0,-0.8,0.00003125,0,2.77977E-10,-3.6133E-07,0,-0.065315,-2.45454E-05,4.92763E-05,0,-21.60255556,0,0,0.020833333,0,0,0,6.944444444,0,-0.927293433,-1.287005789,0.7,2.214233739,1.54377E-13,-0.799998929,0.3,-6.54821E-05
0.004,4.32376E-13,-0.799998929,0.3,-0.000130796,-0.927293433,-1.287005787,0.7,2.214168424,-6.26412E-07,1.25371E-06,0,-0.086917556,0,0,6.944444444,0,0,0,0.027777778,0,0,-0.8,5.55556E-05,0,3.52197E-10,-3.76112E-07,0,-0.086917556,-9.68811E-06,1.94751E-05,0,-21.51688889,0,0,0.027777778,0,0,0,6.944444444,0,-0.927293433,-1.287005787,0.7,2.214168424,4.32376E-13,-0.799998929,0.3,-0.000130796
0.005,7.84539E-13,-0.799998929,0.3,-0.000217713,-0.927293434,-1.287005786,0.7,2.214081506,-6.361E-07,1.27318E-06,0,-0.108434444,0,0,6.944444444,0,0,0,0.034722222,0,0,-0.8,8.68056E-05,0,3.91744E-10,-3.81955E-07,0,-0.108434444,-3.7399E-06,7.52902E-06,0,-21.43055556,0,0,0.034722222,0,0,0,6.944444444,0,-0.927293434,-1.287005786,0.7,2.214081506,7.84539E-13,-0.799998929,0.3,-0.000217713
0.006,1.17623E-12,-0.79999893,0.3,-0.000326147,-0.927293434,-1.287005785,0.7,2.213973072,-6.3984E-07,1.28071E-06,0,-0.129865,0,0,6.944444444,0,0,0,0.041666667,0,0,-0.8,0.000125,0,4.11435E-10,-3.84214E-07,0,-0.129865,-1.35851E-06,2.74039E-06,0,-21.34355556,0,0,0.041666667,0,0,0,6.944444444,0,-0.927293434,-1.287005785,0.7,2.213973072,1.17623E-12,-0.79999893,0.3,-0.000326147
0.007,1.58773E-12,-0.79999893,0.3,-0.000456012,-0.927293435,-1.287005784,0.7,2.213843207,-6.41199E-07,1.28345E-06,0,-0.151208556,0,0,6.944444444,0,0,0,0.048611111,0,0,-0.8,0.000170139,0,4.2078E-10,-3.85036E-07,0,-0.151208556,-4.05151E-07,8.20906E-07,0,-21.25588889,0,0,0.048611111,0,0,0,6.944444444,0,-0.927293435,-1.287005784,0.7,2.213843207,1.58773E-12,-0.79999893,0.3,-0.000456012
0.008,2.0085E-12,-0.799998931,0.3,-0.000607219,-0.927293436,-1.287005782,0.7,2.213691998,-6.41604E-07,1.28427E-06,0,-0.172464444,0,0,6.944444444,0,0,0,0.055555556,0,0,-0.8,0.000222222,0,4.25021E-10,-3.85282E-07,0,-0.172464444,-2.35113E-08,5.15535E-08,0,-21.16755556,0,0,0.055555556,0,0,0,6.944444444,0,-0.927293436,-1.287005782,0.7,2.213691998,2.0085E-12,-0.799998931,0.3,-0.000607219
0.009,2.43361E-12,-0.799998931,0.3,-0.000779683,-0.927293436,-1.287005781,0.7,2.213519534,-6.41628E-07,1.28432E-06,0,-0.193632,0,0,6.944444444,0,0,0,0.0625,0,0,-0.8,0.00028125,0,4.26834E-10,-3.85298E-07,0,-0.193632,1.29233E-07,-2.56752E-07,0,-21.07855556,0,0,0.0625,0,0,0,6.944444444,0,-0.927293436,-1.287005781,0.7,2.213519534,2.43361E-12,-0.799998931,0.3,-0.000779683
