Designator,Mid X,Mid Y,Layer,Rotation
"1117","-19.3297mm","15.8272mm","Top",180
"BAT","-21.0489mm","5.3948mm","Top",0
"BOOT","16.8447mm","-25.1934mm","Top",180
"C1 0805","-21.3223mm","10.0983mm","Top",0
"C2 0805","15.6983mm","-16.6769mm","Top",0
"C3 0805","-13.0583mm","14.5426mm","Top",90
"C3 0805","-0.2052mm","-8.2089mm","Top",0
"C4 0805","-9.6805mm","14.5354mm","Top",90
"C5 0805","15.6983mm","-12.8431mm","Top",0
"C6 0805","-0.9205mm","-13.9157mm","Top",90
"C7 0805","-5.7242mm","-22.2354mm","Top",180
"C9 0805 OUT","-16.1834mm","10.0506mm","Top",180
"CH340G","5.849mm","-13.7834mm","Top",0
"CRYSTAL 12MHz","-8.2358mm","-13.5662mm","Top",270
"H1","-14.8716mm","24.5007mm","Top",0
"H2","-14.8716mm","-25.5447mm","Top",0
"H3","23.7084mm","-16.0775mm","Top",0
"H4","23.7084mm","24.5007mm","Top",0
"HC-SR04","-11.4119mm","-1.3107mm","Top",180
"R1","-0.2678mm","-22.2111mm","Top",180
"R2","-11.9241mm","10.0794mm","Top",0
"RST","-5.669mm","-25.1934mm","Top",0
"U1","4.1595mm","5.1894mm","Top",0
"USB","6.4525mm","-25.9664mm","Top",0
